"name","n","est_num_alive","q1_age","median_age","q3_age"
"Mary",111,2209707.046849,52,62,73
"Jennifer",93,1406036.702617,29,36,42
"Patricia",111,1238622.077486,52,61,68
"Linda",111,1232858.025513,55,62,66
"Elizabeth",111,1129408.898509,23,38,57
"Barbara",111,1045870.157918,56,64,72
"Jessica",111,1010348.934805,21,27,32
"Susan",111,969314.09741,50,57,63
"Lisa",104,909266.625548,40,47,51
"Karen",110,875021.064196,47,54,61
"Sarah",111,872465.782916,19,28,36
"Ashley",72,804870.666747,18,24,28
"Kimberly",78,781127.134831,30,41,48
"Nancy",111,768937.341159,53,61,68
"Michelle",93,764099.967284,29,40,46
"Sandra",107,746714.849911,49,58,66
"Amanda",111,743784.503131,23,28,33
"Melissa",111,715709.095449,28,35,43
"Stephanie",111,698104.615085,23,31,42
"Emily",111,689727.469162,12,19,27
"Donna",111,686294.021462,51,57,65
"Deborah",111,662363.145938,51,57,61
"Rebecca",111,660999.257924,25,38,53
"Carol",111,639431.486642,55,64,70
"Laura",111,636662.856339,30,43,53
